Company Name,Founded,Location,Sector,What it does,Founders,Investor,Amount,Stage
Dyte,2020,Bengaluru,IT Services and IT Consulting,Dyte provides the easiest way to add real-time communications using video and audio to your apps and platforms.,"Felix Lee,Vivan",Multiples,"$15,300,000",undisclosed
Kirana Bazaar,2018,Gurgaon,Oline grocery,Kirana Bazaar is a neighborhood store network that changes the shopping experience.,"Abhishek Halder, Anilesh Yadav",Multiples,"$32,800,000",undisclosed
Phool,2017,kanpur,Enviromental Engineering,Phool is a biomaterial startup.,Ankit Agrawal,Multiples,"$9,400,000",undisclosed
Doceree,2019,Parsippany,Information Technology & Services,Doceree is a fully integrated programmatic ad exchange for data-driven marketing exclusively to physician,"Daleep Manhas, Harshit Jain, Stephen Hoelper",Multiples,"12,000,000",undisclosed
Acko,2016,Mumbai,Health insurance,Acko is a digital insurance company with a license to underwrite and distribute bite-sized insurance products,,Multiples,"$458,000,000",Series D
FirstCry,2010,Pune,Online shopping,FirstCry is an online shopping store offering a range of baby care products and toys.,"Amitava Saha, Prashant Jadhav, Sanket Hattimattur, Supam Maheshwari",Multiples,"$74,140",undisclosed
Meesho,2015,Bangalore,Online shopping,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,"Sanjeev Barnwal, Vidit Aatrey",Multiples,"$1,100,000,000",Series F
NoBroker,2013,Bangalore,Housing rent,"NoBroker is a real-estate platform that makes it possible to buy, sell, or rent a house without paying any brokerage","Akhil Gupta, Amit Agarwal,",Multiples,"$426,000,000",Series E
Paytm,2010,Noida,Financial services,Paytm is a digital payments start-up that offers innovative and intuitive digital products and services for customers and merchants,"Akshay Khanna, Vijay Shekhar",Multiples,"$1,200,000,000",undisclosed
ShareChat,2015,Bangalore,Social networking,ShareChat is a social networking and regional content platform.,"Ankush Sachdeva, Bhanu",Multiples,"$1,400,000,000",Series G
Spinny,2015,,Financial services,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,"Ganesh Pawar, Mohit Gupta",Multiples,"$513,500,000",Series E
Swiggy,2014,Bangalore,Food delivery platform,Swiggy is a food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,"Nandan Reddy, Phani Kishan",,Undisclosed,undisclosed
Unacademy,2015,Bangalore,E-learning,Unacademy is an online learning platform that provides educational content such as video lectures and examinations.,"Gaurav Munjal, Hemesh Singh",Multiples,"$838,500,000",Series H
Urban Company,2014,Gurgaon,E-commerce,Urban Company provides a marketplace for freelance labor,"Abhiraj Singh Bhal, Raghav",Multiples,"$445,900,000",Series H
Xpressbees,2015,Pune,E-commerce Logistics,Xpressbees is an e-commerce logistics company that offers customized express delivery services.,"Amitava Saha, Supam",Multiples,"$577,600,000",Series F
Accel,1983,Palo Alto,Financial services,Accel is an early and growth-stage venture capital firm that helps a global community of entrepreneurs.,"Arthur Patterson, Jim Swartz",Multiples,"$18,300,000,000",undisclosed
MTR Foods,1924,Bangalore,Food packaging,MTR Foods is a food products company,Yagnanarayana Maiya,Multiples,Undisclosed,undisclosed
Oyo,2012,Gurgaon,Travel Arrangements,OYO is a global travel tech company that connects its patrons and guests.,Ritesh Agarwal,Multiples,"$550,000,000",Series F
Eruditus,2010,Bangalore,Education Management,Eruditus provides global access to executive education programs.,"Ashwin Damera, Chaitanya",Multiples,"$1,200,000,000",Series E
Ola,2010,Kormangala,Travel Arrangements,Ola is a mobility platform and ride-hailing company that integrates city transportation for customers and driver partners.,"Ankit Bhati, Bhavish Aggarwal",,"$5,000,000,000",Series J
DailyHunt,2007,Bangalore,Media,DailyHunt develops a mobile application software that gives updates on trending topics.,"Chandu Sohoni, Umang Bedi,",,"$2,200,000",undisclosed
CARS24,2015,Gurgaon,Automobile,CARS24 offers a tech-enabled marketplace for buying and selling pre-owned cars,"Gajendra Jangid, Mehul Agrawal,",Multiples,"$1,300,000,000",Series G
Pine Labs,1998,Noida,Information Technology & Services,Pine Labs is a merchant commerce platform that provides financing and last-mile retail transaction technology to merchants.,"Rajul Garg, Tarun Upaday",,"$1,200,000,000",undisclosed
BharatPe,2018,New delhi,Financial services,"BharatPe is a financial services platform that processes payments via UPI and POS, and provides credit or loans to their merchants.","Ashneer Grover, Bhavik Koladiya",Multiples,"$700,500,000",Series E
Blackbuck,2015,Bengaluru,Information services,Blackbuck is an Indian logistics company that makes trucking simple for every shipper and trucker.,"Chanakya Hridaya, Rajesh Yabaji,",Multiples,"$364,000,000",Series E
Droom,2014,Haryana,Automotive,Droom is a tech and data science-driven online automobile marketplace.,Sandeep Agrawal,Multiples,"$333,000,000",Series F
MindTickle,2011,San Francisco,Software company,MindTickle is a software company that offers sales readiness and enablement tools for businesses.,"Deepak Diwakar, Krishna Depura",Multiples,"$281,000,000",Series E
Vedantu,2011,Bangalore,E-learning,Vedantu is an interactive online tutoring platform for students.,"Anand Prakash, Pulkit Jain",Multiples,"$292,900,000",Series E
CoinDCX,2018,Mumba,Currency exchange,CoinDCX operates as a cryptocurrency exchange aggregator.,"Neeraj Khandelwal, Sumit Gupta",Multiples,"$109,000,000",Series C
Razorpay,2014,Bangalore,Financial services,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar",Multiples,"$741,600,000",Series F
Licious,2015,Bengaluru,Food,Licious is an online meat and seafood ordering startup that follows an end-to-end business.,"Abhay Hanjura, Varun Sadana, Vivek Gupta",Multiples,"$488,700,000",Series F
CoinSwitch Kuber,2017,Bangalore,Financial services,CoinSwitch Kuber is a cryptocurrency exchange platform allowing its users to buy and sell cryptocurrencies.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari",Multiples,"$300,600,000",Series C
Zeta,2015,San Francisco,Financial services,Zeta is a modern banking tech company providing modern core and processing for FIs and embeddable banking for fintech and distributors,"Bhavin Turakhia, Ramki Gaddipati",Multiples,"$30,000,000",
Rebel Foods,2010,Pune,Online food service,"Rebel Foods Private Limited, also popularly known as Faasos",Rvi Shankar venkatranam,,"$14,500,000",Series F
Gupshup,2004,San Francisco,Service provider,Gupshup enables better customer engagement through conversational messaging.,Amit Shrivastav and Nilesh Shivaji,,"$240,000,000",Series F
IndiQube,2015,Bengaluru,Design,"IndiQube is a universe of offerings catering to the holistic needs of Enterprises, Unicorn startups, Offshore Development Centres & Solopreneurs","Rishi Das,Meghna Agarwal",Ashish Gupta,"$30,000,000",Series S
Verse Innovation,2007,Bengaluru,Internet Publishing,Verse Innovation facilitates content curation and tracks user preferences through recommendation tools.,"Umang Bedi, Virendra Gupta",Multiples,"$1,700,000,000",Series J
Lenskart,2010,Faridabad,E-commerce,Lenskart is an India-based online shopping portal for eyewear.,"Amit Chaudhary, Peyush Bansal",Multiples,"$899,300,000",Series I
Upstox,2010,Mumbai,Financial services,Upstox is a fin-tech company to allow innovative investment options for its users.,"Raghu Kumar, Ravi Kumar, Shrinivas Viswanath",Tiger Global Management and GVK Davix Technologies,"$29,000,000",undisclosed
Appsforbharat,2020,Bangalore,Information technology,AppsForBharat develops a range of mobile apps for the spiritual and devotional needs of Indian users.,Prashant Sachan,Mirae Asset Global Investments and MSA Novo,$23000000,undisclosed
OkCredit,2017,Faridabad,Financial services,OkCredit simplifies credit account management for shop owners and their customers.,"Aditya Prasad, Gaurav Kumar, Harsh Pokharna",Google for Startups and Lightspeed India Partners,$84.2,undisclosed
Livspace,2014,Bengaluru,E-commerce,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and product","Anuj Srivastava, Ramakant Sharma, Shagufta Anurag",Jungle Ventures and Peugeot SA,$431.6,Series F
Rigi,1871,"Vitznau, Luzern,",Tourism,Rigi is a tour and travel firm that provides transport facilities to adventure and entertainment locations.,,Content creator platform Rigi.Club,Undisclosed,undisclosed
